judge_model,condition,accuracy,coverage,abstention_rate,selective_accuracy,mean_confidence,examples,random_persona_baseline
openai/gpt-4.1-mini,choice_and_explanation,0.75,0.6666666666666667,0.3333333333333333,0.875,0.8333333333333334,12,0.16666666666666666
openai/gpt-4.1-mini,choice_only,0.4166666666666667,0.5,0.5,0.5,0.8541666666666666,12,0.16666666666666666
openai/gpt-5-nano,choice_and_explanation,0.5833333333333334,1.0,0.0,0.5833333333333334,0.7533333333333333,12,0.16666666666666666
openai/gpt-5-nano,choice_only,0.25,1.0,0.0,0.25,0.7474999999999999,12,0.16666666666666666
