judge_model,condition,accuracy,coverage,abstention_rate,selective_accuracy,mean_confidence,examples,random_persona_baseline
openai/gpt-4.1-mini,choice_and_explanation,0.8333333333333334,1.0,0.0,0.8333333333333334,0.9483333333333331,12,0.16666666666666666
openai/gpt-4.1-mini,choice_only,0.4166666666666667,1.0,0.0,0.4166666666666667,0.8874999999999998,12,0.16666666666666666
openai/gpt-5-nano,choice_and_explanation,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.9090909090909091,0.8624999999999999,12,0.16666666666666666
openai/gpt-5-nano,choice_only,0.3333333333333333,1.0,0.0,0.3333333333333333,0.8450000000000001,12,0.16666666666666666
